White Username,Black Username,Time Control,Game Result,Date,White Elo,Black Elo,Opening,Moves
Nizzlo,Tejas299,600,0-1,2021.03.20,1089,1148,C44,1. e4 Nc6 2. Nf3 e5 3. Bb5 Nf6 4. Bxc6 dxc6 5. Nc3 Bg4 6. O-O Bc5 7. Nxe5 Bxd1
CirucichEnzo,Tejas299,600,0-1,2021.03.20,1117,1155,C44,1. e4 Nc6 2. Nf3 e5 3. Bc4 d6 4. O-O Bg4 5. h3 Bh5 6. d3 Nd4 7. Nbd2 Nf6 8. g4 Bg6 9. Nxd4 exd4 10. f4 h5 11. f5 Bh7 12. gxh5 g6 13. fxg6 fxg6 14. Nf3 gxh5 15. Ng5 Bg6 16. Ne6 Qd7 17. Nxf8 Rxf8 18. Bh6 Qxh3 19. Bxf8 Ng4 20. Bxd6 cxd6 21. Bb5+ Ke7 22. Rf2 Rf8 23. Rg2 Ne3 24. Qd2 Nxg2 25. Qg5+ Kf7 26. Rf1+ Kg7 27. Qe7+ Rf7 28. Rxf7+ Bxf7 29. Qg5+ Kf8 30. Qh6+ Ke7 31. Qg5+ Ke6 32. Qc5 dxc5 33. Bc4+ Ke7
wiiooG,Tejas299,600,0-1,2021.03.20,1173,1180,C20,1. e4 e5 2. d3 d6 3. Be3 Nc6 4. h3 Nd4 5. Bxd4 exd4 6. f3 d5 7. Nd2 Bb4 8. a3 Qh4+ 9. Ke2 Bd6 10. exd5 Nf6 11. c4 O-O 12. g4 Re8+ 13. Ne4 Nxe4 14. dxe4 c5 15. dxc6 bxc6 16. Qxd4 Rd8 17. Qc3 Ba6 18. Rd1 f6 19. a4 Be5 20. Qb4 Rxd1 21. Kxd1 Rd8+ 22. Kc2 Qf2+ 23. Be2 Bf4 24. h4 Rd2+ 25. Kb3 Qe3+ 26. Ka2 Rxe2 27. Nxe2 Qxf3 28. Re1 Bg3 29. Nxg3 Qxg3 30. c5 Qxh4 31. e5 Qxg4 32. exf6 Qxb4
goswamiankit2,Tejas299,600,0-1,2021.03.20,1152,1194,C20,1. e4 e5 2. Qh5 d6 3. h3 Nf6 4. Qf3 Nc6 5. c3 Be6 6. Na3 a6 7. Bc4 Be7 8. Bxe6 fxe6 9. Ne2 O-O 10. d3 d5 11. Qg3 dxe4 12. Bh6 Nh5 13. Qe3 gxh6 14. Qxh6 Bh4 15. O-O Nf4 16. dxe4 Nxe2+ 17. Kh1 Bxf2 18. Rxf2 Rxf2 19. Nc4 Ng3+ 20. Kg1 Qf8 21. Qxe6+ Kh8 22. Nxe5 Rf1+ 23. Rxf1 Qxf1+ 24. Kh2 Rg8 25. Nf7+ Kg7 26. Kxg3 Qxf7 27. Qg4+ Kf8 28. Qxg8+ Qxg8+ 29. Kh2 Qxa2
MasMenteri,Tejas299,600,0-1,2021.03.20,1185,1211,C55,1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. a3 Nxe4 5. O-O Nf6 6. d3 Ng4 7. h3 Nf6 8. Ng5 d5 9. Bb3 Bc5 10. c3 d4 11. Nxf7 Qd6 12. Nxd6+ cxd6 13. Bg5 Bf5 14. Bxf6 gxf6 15. Qh5+ Bg6 16. Qh4 Rf8 17. Bd5 O-O-O 18. b4 Bb6 19. b5 Ne7 20. Qg4+ Kb8 21. c4 Bxd3 22. Rd1 Nxd5 23. Rxd3 Ne7 24. Nd2 d5 25. Qe6 Ng6 26. cxd5 Nf4 27. Qf5 Nxd3 28. Qxd3 Rxd5 29. Qxh7 d3 30. Qg7 Bc5 31. Ne4 Rc8 32. Nxc5 Rcxc5 33. Qxf6 d2 34. Qf8+ Kc7 35. b6+ axb6 36. Qe7+ Kb8 37. Qe8+ Ka7 38. Qh5 Rc1+ 39. Rxc1 dxc1=Q+ 40. Kh2 Qf4+ 41. g3 Qxf2+ 42. Kh1 Qf1+ 43. Kh2 Rd2+ 44. Qe2 Qxe2+ 45. Kg1 Ra2 46. g4 Rxa3 47. h4 Ra4 48. g5 Rxh4 49. g6 Rg4+ 50. Kh1 Qg2#
huyldhs130047,Tejas299,600,1-0,2021.03.20,1250,1204,C42,1. e4 e5 2. Nc3 Nf6 3. Nf3 Bc5 4. d4 exd4 5. Nxd4 d6 6. Nf5 Bxf5 7. exf5 Qe7+ 8. Be2 Qe5 9. Qd3 O-O 10. O-O d5 11. Bf3 Bd6 12. g3 c6 13. Bf4 Qe7 14. Rfe1 Qd7 15. Be5 Bxe5 16. Rxe5 Re8 17. Rxe8+ Qxe8 18. b4 Nbd7 19. b5 a5 20. Ne2 Ne5 21. Qb3 Nxf3+ 22. Qxf3 Qe7 23. a4 Re8 24. Re1 Ne4 25. Nd4 c5 26. Nb3 b6 27. Qg4 Ng5 28. Rxe7
iowa1960,Tejas299,600,0-1,2021.03.20,1194,1205,C62,1. e4 e5 2. Nf3 Nc6 3. Bb5 d6 4. O-O g6 5. d4 Bg7 6. d5 Bd7 7. Ng5 Nd4 8. Bxd7+ Qxd7 9. c3 Nb5 10. Qe2 a6 11. Be3 Nf6 12. c4 Na7 13. Bxa7 Rxa7 14. Qe3 b6 15. Nc3 Ng4 16. Qd2 Bh6 17. f4 f6 18. Ne6 c6 19. h3 cxd5 20. cxd5 exf4 21. Rxf4 Ne5 22. Qf2 Bxf4 23. Qxf4 Qe7 24. Rf1 g5 25. Qxf6 Qxf6 26. Rxf6 Rf7 27. Rxf7 Kxf7 28. Nxg5+ Kg6 29. Ne6 b5 30. Ne2 Rc8 31. N2f4+ Kf6 32. Nh5+ Kg6 33. Nhf4+ Kf6 34. Nh5+ Ke7 35. b3 Rc2 36. a4 Rb2 37. axb5 axb5 38. Nd4 b4 39. Nf5+ Kd7
cuervoboedo,Tejas299,300,0-1,2021.03.20,633,730,C23,1. e4 e5 2. Bc4 d6 3. d3 Be6 4. Nf3 Bxc4 5. dxc4 Nf6 6. Nc3 Nc6 7. Bg5 g6 8. Nd5 Bg7 9. Qd2 O-O 10. O-O-O Qd7 11. Bh6 Bxh6 12. Qxh6 Nxd5 13. Rxd5 f6 14. Rhd1 Nb4 15. h3 Nxd5 16. g4 Nb4 17. g5 Nxa2+ 18. Kd2 f5 19. exf5 Qxf5 20. Qh4 Qxf3 21. Ra1 Qxf2+ 22. Qxf2 Rxf2+ 23. Kd3 Nb4+ 24. Kc3 Nxc2 25. Rc1 Ne3 26. Kd3 Nf5 27. Kc3 Nh4 28. Rg1 Nf3 29. Rg4 Rf8
gopikrishnamolabanti,Tejas299,300,0-1,2021.03.20,739,806,C20,1. e4 e5 2. d3 Nc6 3. c3 Nf6 4. f3 Bc5 5. a4 O-O 6. Nh3 d6 7. b4 Nxb4 8. cxb4 Bxb4+ 9. Nd2 Bc3 10. Rb1 d5 11. Bb2 Bxb2 12. Rxb2 dxe4 13. Nxe4 Nxe4 14. fxe4 Qd6 15. Ng5 Qc6 16. Qh5 Qc1+ 17. Kf2 Qxb2+ 18. Kg1 Qd4#
swetfli,Tejas299,300,0-1,2021.03.20,696,759,C25,1. e4 e5 2. Nc3 Qh4 3. g3 Qf6 4. d3 Bc5 5. Be3 Bxe3 6. fxe3 Nh6 7. Nd5 Qg6 8. Nxc7+ Kf8 9. Nxa8 d6 10. Nc7 Bg4 11. Qd2 Nc6 12. Nb5 a6 13. Na3 b5 14. Be2 Bxe2 15. Nxe2 Qf6 16. O-O-O Qe6 17. Qc3 Ne7 18. Qa5 Qxa2 19. Qxa6 Qa1+ 20. Nb1 Qxa6 21. Rdf1 Ke8 22. Rf2 Kd7 23. Rhf1 f6 24. h4 Ra8 25. Nec3 b4 26. Nd1 Qb6 27. b3 Ng4 28. Rf3 Nh2 29. R3f2 Nxf1 30. Rxf1 Rc8 31. Rf2 Qc6 32. c4 bxc3 33. Rc2 d5 34. Ndxc3 d4 35. exd4 exd4 36. Na4 Qxc2#
markddub,Tejas299,300,0-1,2021.03.20,709,754,C20,1. e4 e5 2. Qh5 Nc6 3. Bc4 Qf6 4. Bxf7+ Qxf7 5. Qxf7+ Kxf7 6. Nc3 Nf6 7. h3 Nd4 8. Kd1 d6 9. d3 Be6 10. Bg5 h6 11. Bxf6 gxf6 12. Nf3 Rg8 13. g4 Nxf3 14. Nb5 c6 15. Nc7 Rc8 16. Nxe6 Kxe6 17. Ke2 Nd4+ 18. Kd2 b5 19. c3 Nf3+ 20. Ke3 Ng5 21. h4 Nf7 22. f3 c5 23. b4 cxb4 24. cxb4 Rc3 25. Kd2 Ra3 26. Rhc1 d5 27. exd5+ Kxd5 28. Rc8 Nd6 29. Rc7 a5 30. Rc5+ Ke6 31. Rxb5 Nxb5 32. Ke3 Bxb4 33. Ke4 Nd4 34. f4 Rxg4 35. Rc1 Rxh4 36. Rc6+ Bd6 37. Rc8 Kd7 38. Rf8 Rxf4+ 39. Ke3 Rf3+ 40. Ke4 f5+ 41. Kd5 Rfxd3 42. Rf7+ Be7 43. Kxe5 Nc6+ 44. Kxf5 Rf3+ 45. Kg6 Rxf7 46. Kxf7 h5 47. Kg6 h4 48. Kf5 h3 49. Ke4 h2 50. Kd5 h1=Q+ 51. Kc4 Ne5+ 52. Kb5 Qc6#
mamallow,Tejas299,300,0-1,2021.03.20,778,779,A40,1. d4 e5 2. c4 exd4 3. c5 Nc6 4. Nf3 Bxc5 5. Ng5 Qf6 6. Nxh7 Rxh7 7. e3 dxe3 8. Bxe3 Bxe3 9. fxe3 Qxb2 10. Nd2 d5 11. Bd3 Qc3 12. Bxh7 Nf6 13. Bc2 Nb4 14. Rc1 Nxa2 15. Ra1 Ne4 16. Bxe4 dxe4 17. O-O Qxe3+ 18. Kh1 Nc3 19. Re1 Nxd1 20. Rxe3 Nxe3 21. Nxe4 Bf5 22. Re1 Nc2 23. Ng3+ Nxe1 24. Nxf5 Nd3 25. Nxg7+ Kf8 26. Nf5 Rd8 27. g3 Ne5
Perdafircax,Tejas299,300,1-0,2021.03.21,800,754,C44,1. e4 e5 2. Nf3 Nc6 3. c3 Nf6 4. d4 d6 5. Bb5 Bd7 6. d5 Ne7 7. Bxd7+ Nxd7 8. O-O g6 9. Bg5 Bg7 10. c4 c5 11. dxc6 bxc6 12. Nc3 O-O 13. Qxd6 Re8 14. Rad1 Nf6 15. Bxf6 Qxd6 16. Rxd6 Bxf6 17. Rxf6 Rad8 18. Nxe5 Kg7 19. Rxf7+ Kh6 20. Ng4+ Kg5 21. h3 h5 22. f4+ Kh4 23. Kh2 Rd2 24. Rf2 Rxf2 25. Nxf2 Nf5 26. Rxf5 gxf5 27. g3#
audreyhot,Tejas299,300,0-1,2021.03.21,728,772,D00,1. d4 d5 2. c3 Bf5 3. f3 e6 4. e4 dxe4 5. Bb5+ Nc6 6. h4 exf3 7. Nxf3 Bg4 8. Bg5 Nf6 9. Nbd2 Bd6 10. b4 e5 11. Qb3 exd4 12. c4 Qe7+ 13. Kd1 O-O 14. Re1 Be5 15. Ne4 Qxb4 16. Qxb4 Nxb4 17. Re2 d3 18. Rb2 Bxb2 19. Rb1 Ba3 20. Bxf6 gxf6 21. Nxf6+ Kg7 22. Ne4 f5 23. Ng5 Rf6 24. Rb3 Nc2 25. Rxa3 Nxa3 26. Kd2 Nxb5 27. Kxd3 Bxf3 28. gxf3 Rd6+ 29. Ke3 Na3 30. h5 Nxc4+ 31. Kf4 Rd4+ 32. Kxf5 Rd5+ 33. Kg4 Rxg5+ 34. Kxg5 h6+ 35. Kg4 Rf8 36. f4 a5 37. a3 b5 38. a4 bxa4 39. f5 a3 40. f6+ Rxf6 41. Kg3 a2 42. Kg4 a1=Q 43. Kg3 Qf1 44. Kg4 Qg1+ 45. Kh4 Qh1+ 46. Kg4 Qg1+ 47. Kh4 Rf4+ 48. Kh3 Qg4+ 49. Kh2 Rf3
thameech,Tejas299,300,0-1,2021.03.21,757,802,C20,1. e4 e5 2. Qg4 d5 3. exd5 Bxg4
nishu30305,Tejas299,300,1-0,2021.03.21,762,772,D00,1. d4 d5 2. c3 Nc6 3. Nf3 e6 4. g3 Bd6 5. Bg2 e5 6. dxe5 Nxe5 7. Nxe5 Bxe5 8. Bxd5 Nf6 9. O-O Nxd5 10. Na3 Bh3 11. Re1 c6 12. e4 Nf6 13. Qxd8+ Rxd8 14. Nc4 Bc7 15. e5 Ng4 16. Bg5 f6 17. exf6+ Kf7 18. fxg7 Kxg7 19. Bxd8 Rxd8 20. Re7+ Kf6 21. Rxc7 Ne5 22. Nxe5 Kxe5 23. Re1+ Kd6 24. Rxb7 h5 25. Rxa7 h4 26. Rh7 Bf5 27. Rd1+ Ke6 28. Rxd8 Bxh7 29. Rh8 Bf5 30. Rxh4 c5 31. a4 c4 32. Rxc4 Bd3 33. Rc7 Kd6 34. Rg7 Kc5 35. a5 Kb5 36. Rg5+ Ka4 37. a6 Bxa6 38. b4 Bc4 39. Ra5+ Kb3 40. Rc5 Kxc3 41. b5 Kb4 42. Rg5 Bxb5 43. h4 Be2 44. h5 Kc4 45. h6 Bd3 46. h7 Bxh7 47. f4 Bd3 48. f5 Kc3 49. f6 Bc4 50. Rg4 Kd3 51. Rxc4 Kxc4 52. f7 Kd4 53. f8=Q Ke4 54. g4 Ke5 55. g5 Ke6 56. g6 Kd7 57. g7 Kc7 58. g8=Q Kc6 59. Qg6+ Kd7 60. Qff7+ Kc8 61. Qgg8#
crackshottv,Tejas299,300,0-1,2021.03.21,741,797,C44,1. e4 e5 2. Nf3 Nc6 3. c3 Nf6 4. d4 d6 5. d5 Ne7 6. Bb5+ c6 7. dxc6 bxc6 8. Ba4 g6 9. Qb3 Bd7 10. O-O Bg7 11. Bg5 O-O 12. Qd1 d5 13. exd5 cxd5 14. Nxe5 Bxa4 15. Qxa4 Ne4 16. Bxe7 Qxe7 17. Nc6 Qf6 18. Nxa7 Ng5 19. Qd7 Ne6 20. Nc6 Nc5 21. Qxd5 Ne6 22. Ne5 Qxe5 23. Qxe5 Bxe5 24. Nd2 Rad8 25. Ne4 f5 26. Ng3 Bxg3 27. fxg3 Rf7 28. a4 Rfd7 29. a5 Nc5 30. b4 Nb3 31. Rab1 Nd2 32. b5 Nxb1 33. Rxb1 Rd1+ 34. Kf2
realDavisitOo,Tejas299,300,0-1,2021.03.21,776,809,C50,1. e4 e5 2. Nf3 Nc6 3. Bc4 d6 4. d3 Be6 5. Ng5 Bxc4 6. dxc4 Nf6 7. Nf3 Nxe4 8. Bg5 Be7 9. Be3 O-O 10. Nbd2 Nf6 11. c3 d5 12. cxd5 Qxd5 13. Bg5 e4 14. Nxe4 Qxd1+ 15. Rxd1 Nxe4 16. Bxe7 Nxe7 17. O-O f5 18. Rfe1 Rad8 19. Ng5 Rxd1 20. Rxd1 Nxg5 21. Rd7 Re8 22. h3 Ne6 23. Rd3 b6 24. Re3 Nf4 25. g3 Nfd5 26. Re5 a5 27. c4 Nb4 28. a3 Nc2 29. b4 axb4 30. axb4 Nxb4 31. c5 bxc5 32. Rxc5 Rc8 33. Rc4 Nd3 34. Rc3 Ne5 35. Re3 N5g6 36. h4 c5 37. h5 Nf8 38. Rxe7 c4 39. Kf1 c3 40. Ke1 c2 41. Kd2 c1=Q+ 42. Kd3 Qc3+ 43. Ke2 Qc4+ 44. Kf3 Qd5+ 45. Ke2 Qb5+ 46. Kf3 Rc3+ 47. Re3 Rxe3+ 48. Kxe3 Qb3+ 49. Kf4 g6 50. Kg5 Qd1 51. hxg6 Qg4+ 52. Kf6 Qxg6+ 53. Ke5 Qe6+ 54. Kf4 Qe4+ 55. Kg5 Qg4+ 56. Kf6 h5 57. f3 Qxf3 58. Kg5 f4 59. gxf4 Qg2+ 60. Kxh5 Ne6 61. f5 Qg5#
imviralbhatt,Tejas299,300,0-1,2021.03.21,807,821,C20,1. e4 e5 2. d3 Nf6 3. c4 Bb4+ 4. Bd2 Bc5 5. Nf3 d6 6. Be2 Nc6 7. O-O Be6 8. Nc3 a6 9. a3 Qe7 10. b4 Bb6 11. b5 axb5 12. cxb5 Nd4 13. Nxd4 exd4 14. Na4 Ba7 15. Rc1 O-O 16. Bf3 d5 17. exd5 Bxd5 18. Bxd5 Nxd5 19. Re1 Qxa3 20. Nc5 Bxc5 21. Rxc5 Qxc5 22. f3 Ne3 23. Bxe3 dxe3 24. Rxe3 Qxe3+ 25. Kf1 Rfe8
RaisLegend,Tejas299,300,1-0,2021.03.21,826,822,C42,1. e4 e5 2. Nc3 Nf6 3. Nf3 Nc6 4. d4 d6 5. a3 g6 6. Bg5 Bg7 7. d5 Nd4 8. Nxd4 exd4 9. Qxd4 O-O 10. b4 Qd7 11. O-O-O Ng4 12. Qc4 Nxf2 13. Ne2 Nxd1 14. Kxd1 Qg4 15. Bc1 f5 16. Qxc7 fxe4 17. h3 Qd7 18. Qc4 b5 19. Qxe4 Bb7 20. Qe6+ Qxe6 21. dxe6 Rae8 22. Nf4 g5 23. Bxb5 gxf4 24. Bxe8 Rxe8 25. Bxf4 Rd8 26. e7 Rd7 27. e8=Q+ Bf8 28. Qxd7 d5 29. Qxb7 d4 30. Be5 a5 31. Bxd4 axb4 32. axb4 Bxb4 33. Qg7#
Mariscal_Suaznabar,Tejas299,300,0-1,2021.03.21,806,832,C50,1. e4 e5 2. Nf3 Nc6 3. Bc4 d6 4. d4 exd4 5. Ng5 Be6 6. Nxe6 fxe6 7. Qf3 Ne5 8. Qh5+ g6 9. Bg5 Be7 10. Bxe7 Nxe7 11. Qh6 Nxc4 12. Qg7 Kd7 13. Na3 Nxb2 14. O-O h5 15. Rab1 Nc4 16. Rxb7 Rg8 17. Qf7 Rf8 18. Qg7 Nxa3 19. Qxd4 Nc6 20. Qa4 Rb8 21. Rxa7 Ra8 22. Rxa8 Qxa8 23. Qb3 Nd4 24. Rd1 Ndxc2 25. e5 Qa7 26. exd6 Qxf2+ 27. Kh1 cxd6 28. Qb7+ Ke8 29. Qc6+ Kf7 30. Qd7+ Kg8 31. Qxe6+ Kh7 32. Qe7+ Kh6 33. h3 Rf7 34. Qxd6 Rf6 35. Qd3 g5 36. Qd8 Rf8 37. Qd6+ Rf6 38. Qe7 Rf7
paulith6,Tejas299,300,0-1,2021.03.21,813,852,D00,1. d4 d5 2. Bf4 e6 3. e3 Bd6 4. Nf3 Bxf4 5. exf4 Nf6 6. Ne5 Ne4 7. Bd3 f6 8. Ng4 O-O 9. Nd2 Nxd2 10. Qxd2 Qd6 11. O-O-O Nc6 12. h4 Nxd4 13. c3 Nc6 14. h5 h6 15. Qc2 f5 16. Ne3 Qxf4 17. g3 Qxf2 18. Qxf2 d4 19. cxd4 Nxd4 20. Nc4 b5 21. Ne5 b4 22. b3 a5 23. Qf4 Ne2+ 24. Bxe2 c5 25. Bb5 Ba6 26. Nd7 Bxb5 27. Nxf8 Rxf8 28. Rd6 c4 29. bxc4 Ba4 30. Rxe6 b3 31. axb3 Bxb3 32. Qxf5 Rxf5 33. Kb2 Bxc4 34. Kc3 Bxe6 35. g4 Rc5+ 36. Kd4 Rb5 37. Re1 Bxg4 38. Re8+ Kf7 39. Re4 Bxh5 40. Kc4 Rb1 41. Kc3 a4 42. Rxa4 Bd1 43. Ra2 Rb8 44. Kd2 Bb3 45. Rb2 Ke7 46. Kc3 Kd6 47. Rxb3 Rxb3+ 48. Kxb3 Ke5 49. Kc2 Kf4 50. Kd2 Kf3 51. Ke1 Kg2 52. Ke2 g5 53. Ke3 Kg3 54. Ke2 h5 55. Ke3 g4 56. Ke2 h4 57. Kf1 Kh2 58. Kf2 g3+ 59. Kf1 h3 60. Ke2 g2 61. Kd3 g1=Q 62. Ke4 Kg2 63. Kd5 h2 64. Kc4 h1=Q 65. Kb5 Qh5+ 66. Kc6 Qgc5+ 67. Kd7 Qh7+ 68. Ke6 Qh6+ 69. Kd7 Qa7+ 70. Ke8 Qe6+
Sutoe,Tejas299,300,0-1,2021.03.21,859,853,C50,1. e4 e5 2. Nf3 Nc6 3. Bc4 d6 4. Nc3 Be6 5. d3 Bxc4 6. dxc4 Qd7 7. O-O O-O-O 8. Be3 Nge7 9. b3 f6 10. g4 Qxg4+ 11. Kh1 g5 12. Rg1 Qd7 13. Qd3 f5 14. exf5 Qxf5 15. Qxf5+ Nxf5 16. Bxg5 Be7 17. Nd5 Bxg5 18. Rxg5 Rdf8 19. b4 Nfe7 20. Ne1 Nxd5 21. cxd5 Nxb4 22. Kg1 Nxd5 23. Rg3 Nf4 24. Ra3 a6 25. c4 Ne2+ 26. Kf1 Nd4 27. Rc3 Rf7 28. c5 dxc5 29. Rxc5 Rhf8 30. Nd3 e4 31. Ne5 Rxf2+ 32. Kg1 e3 33. Ng4 R2f5 34. Nxe3 Rxc5 35. Rd1 Rf3 36. Ng2 Ne2+ 37. Kh1 Rfc3 38. h3 Rc1 39. Rxc1 Rxc1+ 40. Kh2 h5
jihanarora,Tejas299,300,0-1,2021.03.21,818,861,A40,1. d4 e5 2. dxe5 Nc6 3. f4 f6 4. exf6 Qxf6 5. e3 Qh4+ 6. g3 Qf6 7. Nf3 Nge7 8. Bd3 g6 9. O-O Bg7 10. g4 O-O 11. g5 Qe6 12. Nd4 Nxd4 13. exd4 Qd6 14. c3 Nf5 15. Bxf5 Rxf5 16. Na3 b6 17. Nc4 Qd5 18. Ne3 Qc6 19. Nxf5 gxf5 20. Qf3 Bb7 21. Qxc6 Bxc6 22. Be3 Bb5 23. Rfe1 d5 24. a4 Ba6 25. b4 b5 26. axb5 Bxb5 27. Ra5 c6 28. Rea1 a6 29. h4 Re8 30. Kf2 h6 31. gxh6 Bxh6 32. Rg1+ Kf7 33. h5 Bg7 34. Rg5 Bf6 35. Rxf5 Kg7 36. h6+ Kg6 37. Rxf6+ Kxf6 38. f5 Kxf5 39. Ra1 Rf8 40. Rg1 Ke4+ 41. Ke1 Kxe3 42. h7 Rh8 43. Rg3+ Kf4 44. Rh3 Ba4 45. Kd2 Kg4 46. Rh1 Kg5 47. Kd3 Kg6 48. Ke3 Rxh7 49. Rxh7 Kxh7 50. Kf4 Bb5 51. Ke5 Kg6 52. Kf4 Kh5 53. Ke3 Kg4 54. Kd2 Kf3 55. Kc2 Ke3 56. Kb3 Kd3 57. Kb2 Kc4 58. Kc2 Ba4+ 59. Kd2 Kb3 60. Kd3 Bb5+ 61. Kd2 Bc4 62. Kc1 Kxc3
tobmad,Tejas299,300,1/2-1/2,2021.03.22,854,869,C45,1. e4 e5 2. Nf3 Nc6 3. d4 d6 4. dxe5 dxe5 5. Qxd8+ Nxd8 6. Nxe5 Nf6 7. Nc3 Bb4 8. a3 Ba5 9. Bc4 Nxe4 10. Nxf7 Nxf7 11. b4 Nxc3 12. bxa5 O-O 13. O-O b5 14. Bb3 Re8 15. Bd2 Ne2+ 16. Kh1 Nd4 17. Rfe1 Rxe1+ 18. Rxe1 Kf8 19. Re4 Nxb3 20. cxb3 Bb7 21. Rd4 Rd8 22. Rxd8+ Nxd8 23. Bf4 c6 24. Bc7 Ne6 25. Bd6+ Kf7 26. b4 a6 27. h4 h6 28. h5 Kf6 29. g4 Kg5 30. f3 Nd4 31. Be5 Nxf3 32. Bxg7 Ne1 33. Kg1 Nc2 34. Kf2 Nxa3 35. Ke3 Bc8 36. Kf3 Nc2 37. Ke4 Nxb4 38. Kd4 Nc2+ 39. Kc5 b4 40. Kxc6 b3 41. Kb6 b2 42. Bxb2 Kxg4 43. Kc7 Bf5 44. Kb7 Kxh5 45. Kxa6 Bd3+ 46. Kb7 Kg5 47. Be5 h5 48. Bd6 h4 49. Be7+ Kg4 50. Bd6 h3 51. Be5 Ne3 52. Bc7 Nd5 53. Be5 Nf4 54. Bc7 h2 55. Bxf4 h1=Q+ 56. Kb6 Kxf4 57. a6 Qe4 58. a7 Kf5 59. Kc7 Ke6 60. Kb8 Qd5 61. a8=Q Qxa8+ 62. Kxa8
SumTranj,Tejas299,300,0-1,2021.03.22,885,878,C50,1. e4 e5 2. Nf3 Nc6 3. Bc4 d6 4. d3 Be6 5. Bd5 Nf6 6. Ng5 Be7 7. Bxe6 fxe6 8. Nxe6 Qd7 9. Nxg7+ Kf8 10. Bh6 Kf7 11. Nf5 Rhg8 12. Nxe7 Qxe7 13. O-O Ng4 14. Qf3+ Qf6 15. Qxf6+ Kxf6 16. Bd2 Nd4 17. Na3 Ne2+ 18. Kh1 Rg6 19. h3 Nh6 20. Bxh6 Rxh6 21. Rae1 Nf4 22. Kh2 Rg8 23. Rg1 Rhg6 24. g3 Ne6 25. Nc4 h5 26. h4 c6 27. Nxd6 b5 28. b4 a6 29. a3 Nd4 30. c3 Nf3+ 31. Kh3 Nxg1+ 32. Rxg1 Ke6 33. Nb7 Rf8 34. Rg2 Rf3 35. Nc5+ Kd6 36. Nxa6 Rxd3 37. Nc5 Rxc3 38. Nb7+ Kc7 39. Na5 Rxa3
testina5,Tejas299,300,1-0,2021.03.22,894,862,C50,1. e4 e5 2. Nf3 Nc6 3. Bc4 d6 4. c3 Be6 5. Bb3 Nf6 6. d4 d5 7. dxe5 Nxe4 8. O-O Bc5 9. Nbd2 O-O 10. Bc2 Nxd2 11. Bxd2 f6 12. Re1 b5 13. b4 Bb6 14. a4 a6 15. axb5 axb5 16. Rxa8 Qxa8 17. exf6 Rxf6 18. Bxh7+ Kh8 19. Ng5 Bf5 20. Qh5 Rh6 21. Re8+ Qxe8 22. Qxe8#
Louisgordon1,Tejas299,300,1-0,2021.03.22,900,855,C47,1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6 4. Bc4 d6 5. O-O Be6 6. b3 Bxc4 7. bxc4 Be7 8. d4 exd4 9. Nxd4 Nxd4 10. Qxd4 O-O 11. Bg5 c5 12. Qe3 Ng4 13. Qf4 Bxg5 14. Qxg4 h6 15. Nd5 b6 16. Rad1 a5 17. Rfe1 Ra6 18. e5 Re8 19. exd6 Rxe1+ 20. Rxe1 Qxd6 21. Rd1 Qe5 22. g3 a4 23. f4 Qe4 24. Qc8+ Kh7 25. Qxa6 Bf6 26. Qxb6 Bd4+ 27. Rxd4 Qxd4+ 28. Kf1
HetmanChmielnicki,Tejas299,300,0-1,2021.03.22,880,872,A40,1. d4 e5 2. e3 e4 3. Nc3 d5 4. Qh5 Nf6 5. Qg5 Nc6 6. Nxd5 Nxd5 7. Qxd8+ Nxd8 8. Bb5+ Nc6 9. Bxc6+ bxc6 10. c3 Ba6 11. Bd2 Bd6 12. O-O-O Bc4 13. b3 Bd3 14. f3 f5 15. fxe4 fxe4 16. Nh3 O-O 17. Rhf1 Bxf1 18. Rxf1 Rxf1+ 19. Kc2 c5 20. Ng5 Re8 21. dxc5 Bxc5 22. c4 Nb4+ 23. Kb2 Rf2 24. Nxe4 Rxe4 25. Kc3 Nxa2+ 26. Kd3 Re8 27. Ba5 Rxe3#
leandro2891,Tejas299,300,0-1,2021.03.22,855,881,C24,1. e4 e5 2. Bc4 Nf6 3. d3 Nc6 4. Ne2 Nd4 5. Nxd4 exd4 6. O-O Bc5 7. Bd2 d6 8. b4 Bb6 9. a3 Bg4 10. Qe1 O-O 11. Bg5 h6 12. Bxf6 Qxf6 13. Nd2 Qg6 14. f3 Bh3 15. Rf2 Be6 16. Bxe6 Qxe6 17. Nc4 c5 18. e5 cxb4 19. axb4 a6 20. Re2 Rae8 21. Nxb6 dxe5 22. Nc4 e4 23. dxe4 Qxc4 24. Ra4 Rd8 25. Ra5 b6 26. Ra4 d3 27. cxd3 Qxd3 28. b5 Qxb5 29. Rb4 Qc5+ 30. Kh1 Rd7 31. e5 Rfd8 32. Rb1 a5 33. e6 fxe6 34. Rxe6 b5 35. h3 b4 36. Re8+ Rxe8 37. Qxe8+ Kh7 38. g4 Rd2 39. h4 Qf2 40. Rg1 Qh2#
