White Username,Black Username,Time Control,Game Result,Date,White Elo,Black Elo,Opening,Moves
Manideep6696,Tejas299,300,0-1,2023.10.08,837,880,C50,1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. d3 Nf6 5. h3 O-O 6. O-O a6 7. Re1 b5 8. Bb3 a5 9. c4 b4 10. Be3 Bxe3 11. Rxe3 a4 12. Bc2 Bb7 13. b3 a3 14. Qd2 Nd4 15. Nxd4 exd4 16. Rf3 c5 17. Qg5 h6 18. Qxc5 Nh5 19. Qxh5 Ra6 20. Qc5 Rg6 21. g3 Qg5 22. Qxd4 Qc1+ 23. Kg2 Qxc2 24. Qxd7 Bc8 25. Qd4 Qb2 26. Qc5 Qxa1 27. Qxb4 Qxb1 28. Qxa3 Qa1 29. Qd6 Rxd6
elliotfib,Tejas299,300,1-0,2023.10.08,853,871,D00,1. d4 d5 2. Nc3 Nf6 3. Bf4 c6 4. e3 e6 5. a3 Bd6 6. Bxd6 Qxd6 7. Nf3 O-O 8. Ne5 Qc7 9. Bd3 Nbd7 10. f4 Nxe5 11. fxe5 Ne4 12. Nxe4 dxe4 13. Bxe4 Qe7 14. Qf3 Qh4+ 15. g3 Qh6 16. O-O-O f5 17. Bd3 Bd7 18. Kb1 b5 19. Rdg1 a5 20. g4 fxg4 21. Qxg4 Rf7 22. Rg3 b4 23. a4 b3 24. cxb3 Rb8 25. Ka2 c5 26. dxc5 Bc6 27. Be4 Bd5 28. Bxd5 exd5 29. Rh3 Qg6 30. Qxg6 hxg6 31. Rg1 Rf5 32. e6 Re8 33. Rxg6 Rf2 34. c6 Rc2 35. Rhg3 Rxc6 36. Rxg7+ Kf8 37. Rg8+ Ke7 38. R3g7+ Kd8 39. e7+ Kd7 40. Rxe8 Kxe8 41. Ka3 Rc7 42. b4 Rxe7 43. Rxe7+ Kxe7 44. bxa5 Kd6 45. Kb4 Kc7 46. Kb5 Kb7 47. a6+ Ka8 48. Kb6 d4 49. exd4 Kb8 50. d5 Ka8 51. d6 Kb8 52. d7 Ka8 53. d8=Q#
jump65,Tejas299,300,1-0,2023.10.08,855,841,C45,1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. d4 exd4 5. Ng5 Ne5 6. Bxf7+ Nxf7 7. Nxf7 Kxf7 8. Qh5+ g6 9. Qxc5 Qf6 10. Qc4+ Kg7 11. Bd2 Nh6 12. c3 Rf8 13. O-O Qh4 14. Qxd4+ Rf6 15. Be3 Ng4 16. h3 Nxe3 17. Qxe3 d5 18. e5 Rf5 19. Nd2 Rg5 20. Nf3 Qh5 21. Nxg5
guilleboretto,Tejas299,300,0-1,2023.10.08,850,849,C44,1. e4 e5 2. Nf3 Nc6
benyhe,Tejas299,300,0-1,2023.10.08,884,867,B07,1. e4 e5 2. d4 d6 3. Nf3 exd4 4. Bc4 Be6 5. Bxe6 fxe6 6. Nxd4 e5 7. Nf5 Qf6 8. O-O Nc6 9. c3 O-O-O 10. f4 Nge7 11. fxe5 Qxe5 12. Nxe7+ Bxe7 13. Qg4+ Kb8 14. Rf5 Qe6 15. Qf3 Rdf8 16. Nd2 Rxf5 17. exf5 Qe1+ 18. Nf1 Ne5 19. Qe3 Qxe3+ 20. Bxe3 Rf8 21. Ng3 Ng4 22. Bd4 c5 23. Bxg7 Rf7 24. f6 Bxf6 25. Bxf6 Rxf6 26. Ne4 Rf2 27. h3 Rf4 28. Nxd6 Ne3 29. Re1 Nc2 30. Re7 Rf6 31. Nxb7 Rb6 32. Nxc5 Rxb2 33. Rxh7 Rb5 34. Nd7+ Kc7 35. Nc5+ Kb6 36. Nb3 Ne3 37. Rh6+ Kc7
WaleedGomaa66,Tejas299,300,1-0,2023.10.08,881,859,A00,1. e3 e5 2. c3 d5 3. Qh5 Nc6 4. Bb5 Bd6 5. Qf3 Be6 6. Qd1 Nf6 7. Qa4 Bd7 8. c4 O-O 9. cxd5 Nxd5 10. Bxc6 Bxc6 11. Qd1 Qg5 12. g3 Qf5 13. f3 e4 14. f4 Nb4 15. Qb3 Nd3+ 16. Kd1 Qg4+ 17. Kc2 a5 18. a4 Rab8 19. Na3 Bxa3 20. Rxa3 b5 21. Qc3 Qd7 22. axb5 Rxb5 23. Rxa5 Ne1+ 24. Kb1 Rxa5 25. Qxa5 Bd5 26. Ne2 Qc6 27. Rxe1 Bb3 28. Nc3 Ra8 29. Qb4 Ra1+ 30. Kxa1 Qa6+ 31. Kb1 Qd3+ 32. Ka1 Qa6+ 33. Kb1 c6 34. Qxb3 Qd3+ 35. Ka1 Qa6+ 36. Na4 h6 37. Qb8+ Kh7 38. Qb4 c5 39. Qxe4+ g6 40. b3 c4 41. Bb2 cxb3 42. Qd4 Kg8 43. Qg7#
malfetown,Tejas299,300,0-1,2023.10.08,800,849,C50,1. e4 e5 2. Nf3 Nc6 3. Bc4 d6 4. d3 Bg4 5. h3 Bh5 6. g4 Bg6 7. Ng5 h6 8. Nxf7 Bxf7 9. Bxf7+ Kxf7 10. Qf3+ Qf6 11. Qxf6+ Nxf6 12. Nc3 Nd4 13. Kd2 c6 14. b3 d5 15. Bb2 dxe4 16. dxe4 Bb4 17. a3 Nxe4+ 18. Kd3 Bxc3 19. Bxc3 Nxf2+ 20. Ke3 Nxh1 21. Rxh1 Nxc2+ 22. Kd3 Nxa3 23. Bxe5 Rad8+ 24. Kc3 Rhe8 25. Bc7 Rd7 26. Ba5 Nb5+ 27. Kb4 Re4+ 28. Kc5 b6+ 29. Kxc6 Red4 30. Bb4 Rxb4 31. Kxd7 Rd4+ 32. Kc6 Na3 33. Rf1+ Kg8 34. Rc1 Rd3 35. b4 Rxh3 36. b5 Rb3 37. Rd1 Rxb5 38. Rd7 Rc5+ 39. Kb7 Nb5 40. Ka6 Nc7+ 41. Kxa7 Nb5+ 42. Kxb6 Rg5 43. Rd8+ Kh7 44. Rd7 Nc3 45. Rd4 Ne2 46. Re4 Nc3 47. Rc4 Nd5+ 48. Ka7 Ne3 49. Re4 Nxg4 50. Re7 h5 51. Kb6 h4 52. Kc6 h3 53. Kd6 h2 54. Ke6 h1=Q 55. Rf7 Qe1+ 56. Kd7 Ne5+ 57. Ke6 Nxf7+ 58. Kxf7 Rf5#
x9920,Tejas299,300,0-1,2023.10.08,853,856,D02,1. d4 d5 2. Nf3 Nf6 3. Bf4 Nc6 4. Nc3 Bf5 5. Nb5 Rc8 6. a3 a6 7. Nc3 e6 8. e3 Bd6 9. Ne5 Nxe5 10. dxe5 Bg4 11. f3 Bxe5 12. Bxe5 Bh5 13. Bxf6 Qxf6 14. g4 Bg6 15. Qd4 Qh4+ 16. Ke2 O-O 17. Bg2 Bxc2 18. Rac1 Bb3 19. Qf4 Bc4+ 20. Kd2 Qf2+ 21. Ne2 Qxe2+
classicalaf,Tejas299,300,1-0,2023.10.08,842,840,C46,1. e4 e5 2. Nf3 Nc6 3. Nc3 d6 4. Bb5 Bd7 5. Bxc6 Bxc6 6. a4 Nf6 7. a5 Nxe4 8. Nxe4 Bxe4 9. O-O Be7 10. d3 Bxf3 11. Qxf3 O-O 12. Qxb7 Bh4 13. Qd5 Qf6 14. g3 Bg5 15. Bxg5 Qxg5 16. h4 Qd2 17. c4 Qxb2 18. Rae1 Rab8 19. c5 Rb5 20. Rb1 Qxb1 21. Rxb1 Rxb1+ 22. Kg2 Rd8 23. cxd6 cxd6 24. f4 Rd1 25. fxe5 Rd2+ 26. Kf3 Rb2 27. exd6 Rbb8 28. d4 Rd7 29. a6 Rbd8 30. Qc5 h6 31. g4 Rxd6 32. Qxa7 Rxd4 33. Qb7 R4d6 34. a7 Rd3+ 35. Kf2 Ra3 36. Qb6 Re8 37. Qc6 Kf8 38. Qc5+ Re7 39. Qxa3 Kg8 40. Qa6 f6 41. Qc8+ Kh7 42. a8=Q g5 43. Qf5+ Kg7 44. hxg5 hxg5 45. Qa1 Re5 46. Qfxe5 fxe5 47. Qxe5+ Kf7 48. Qxg5 Ke6 49. Qf5+ Kd6 50. g5 Kc6 51. g6 Kb6 52. g7 Kc6 53. g8=Q Kd6 54. Qge6+ Kc7 55. Qff7+ Kd8 56. Qee8#
caryhillyx,Tejas299,300,0-1,2023.10.08,864,849,C42,1. e4 e5 2. Nc3 Nf6 3. Nf3 Nc6 4. d4 d6 5. d5 Nb4 6. a3 Na6 7. Bxa6 bxa6 8. O-O Be7 9. Bg5 O-O 10. Bxf6 Bxf6 11. h3 Bg5 12. Nxg5 Qxg5 13. Qf3 f6 14. Ne2 Rb8 15. b4 a5 16. Rab1 axb4 17. Rxb4 Rxb4 18. axb4 Ba6 19. Re1 f5 20. Qe3 Qxe3 21. fxe3 Bc4 22. exf5 Rxf5 23. Ng3 Rf7 24. e4 Bb5 25. Re3 Ba4 26. c3 c6 27. c4 cxd5 28. cxd5 Bb5 29. Nf5 Rd7 30. Rc3 g6 31. Rc8+ Kf7 32. Nh6+ Kf6 33. Ng4+ Kg5 34. Ne3 Bd3 35. g3 Bxe4 36. h4+ Kh5 37. Rc4 Bd3 38. Rg4 Be2 39. Rg5+ Kh6 40. Kf2 Bd3 41. Ng4+ Kg7 42. h5 Rf7+ 43. Ke3 Bf5 44. h6+ Kf8 45. Nf2 Bd7 46. Ne4 Ke7 47. Nc3 Rf5 48. Rxf5 Bxf5 49. Ne4 Bxe4 50. Kxe4 Kf6 51. g4 Kg5 52. Kf3 Kxh6 53. Kg3 Kg5 54. Kf3 h5 55. gxh5 Kxh5 56. Kg3 g5 57. b5 g4 58. Kg2 e4 59. Kg3 e3 60. Kg2 e2 61. Kf2 Kh4 62. Kxe2 Kh3 63. Kf2 Kh2 64. Kf1 g3 65. b6 g2+ 66. Kf2 g1=Q+ 67. Kf3 Qg2+ 68. Kf4 Qg3+
dofre8,Tejas299,300,1-0,2023.10.09,845,848,C50,1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. Nc3 Nf6 5. O-O O-O 6. d3 d6 7. Nd5 Bg4 8. Bg5 Nb4 9. Nxf6+ gxf6 10. Bh6 Re8 11. a3 Nc6 12. c3 a6 13. d4 exd4 14. cxd4 Bb6 15. Qd3 Ne7 16. Nh4 Ng6 17. Qg3 Qd7 18. Nxg6 hxg6 19. f3 Bh5 20. f4 Kh7 21. f5 g5 22. Bxg5 fxg5 23. Qxg5 Rh8 24. Qxh5+ Kg8 25. Qg5+ Kf8 26. Rad1 d5 27. exd5 Qd6 28. f6 c6 29. Qg7+ Ke8 30. Qxh8+ Kd7 31. Qxa8
marieboiss,Tejas299,300,1-0,2023.10.09,836,840,C45,1. e4 e5 2. Nf3 Nc6 3. d4 f6 4. d5 Nb4 5. a3 Na6 6. Bxa6 bxa6 7. O-O Ne7 8. b4 g6 9. d6 cxd6 10. Qxd6 Nc6 11. Qd5 Bb7 12. Nxe5 Nxe5 13. Qxb7 Bd6 14. Qxa6 Qc7 15. f4 Nc4 16. e5 fxe5 17. fxe5 Bxe5 18. Re1 O-O 19. Bb2 Bxb2 20. Ra2 Bd4+ 21. Kh1 Bf2 22. Re4 Be3 23. g3 Rf1+ 24. Kg2 Rf2+ 25. Kh3 d5 26. Qe6+ Qf7 27. Qxf7+ Rxf7 28. Re6 Raf8 29. c3 Bg5 30. Rg2 Ne3 31. Re2 Nc4 32. Re8 Rxe8 33. Rxe8+ Kg7 34. b5 Bf6 35. a4 Na5 36. Nd2 Bxc3 37. Nf3 d4 38. Ne5 Rf6 39. Re7+ Kh6 40. Nf7+ Kh5 41. g4#
